,NEUT,Pred_NEUT
0,335.28,-868.0378602125277
1,335.4324,-867.1072552081496
2,335.5848,-865.6877315074908
3,335.7372,-864.1103881716303
4,335.8896,-863.7205426312619
5,336.042,-863.0909629071944
6,336.1944,-863.1959615959584
7,336.3468,-863.9941356427028
8,336.4992,-864.7736303784461
9,336.6516,-864.5019129205673
10,336.80400000000003,-863.521002277248
11,336.9564,-862.9414504714439
12,337.1088,-863.2693204455684
13,337.2612,-864.1776982058307
14,337.4136,-864.4830790361893
15,337.566,-994.4621227960558
16,337.7184,-994.4653587402779
17,337.8708,-995.0604361574979
18,338.0232,-995.2145880618555
19,338.1756,-995.1132294452541
20,338.32800000000003,-994.4635624300604
21,338.4804,-994.7927981011294
22,338.6328,-994.4248963903158
23,338.7852,-995.0319341393454
24,338.9376,-995.0319151713315
25,339.09,-995.146189174902
26,339.2424,-994.8143023423534
27,339.3948,-995.1656474118233
28,339.5472,-995.454902931014
29,339.6996,-995.3627636556535
30,339.852,-995.1641510905838
31,340.0044,-994.9065044593465
32,340.1568,-994.7223059818891
33,340.3092,-995.3871332474218
34,340.4616,-995.359809441331
35,340.61400000000003,-995.9796484923181
36,340.7664,-996.2731964070556
37,340.9188,-996.4094846716437
38,341.0712,-996.4162344667138
39,341.2236,-995.5865962321118
40,341.376,-995.6538241696933
41,341.5284,-995.3227080221088
42,341.6808,-994.8139368678894
43,341.8332,-994.8041616080043
44,341.9856,-994.6476918810663
45,342.13800000000003,-994.6310149054384
46,342.2904,-994.2392549408389
47,342.4428,-994.5240281388665
48,342.5952,-994.4698972484675
49,342.7476,-994.8790087693205
50,342.9,-994.7036289914336
51,343.0524,-994.8340334040847
52,343.2048,-994.8930747589588
53,343.3572,-994.7021782935017
54,343.5096,-994.8316717915286
55,343.662,-994.5020454909516
56,343.8144,-994.396451590319
57,343.9668,-994.4140769747278
58,344.1192,-994.5109754093519
59,344.2716,-994.9023172292157
60,344.42400000000004,-995.6117164391076
61,344.5764,-996.1005081758151
62,344.7288,-995.9350192069953
63,344.8812,-995.5868445982035
64,345.0336,-995.1873882091077
65,345.186,-995.5856830890073
66,345.3384,-995.3139994359069
67,345.4908,-995.5305525699289
68,345.6432,-995.6996719528206
69,345.7956,-996.1399292501162
70,345.94800000000004,-996.1377909324842
71,346.1004,-995.1087692742979
72,346.2528,-994.2235434821889
73,346.4052,-993.3353885680917
74,346.5576,-993.287604569444
75,346.71,-993.4789068144635
76,346.8624,-993.248421111258
